Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571771,0,1
1,0.44057,0.000545721,1.00009
2,0.410348,0.00179037,1.00035
3,0.392233,0.00238545,1.0005
4,0.328877,0.00651711,1.00124
5,0.315327,0.00753296,1.00132
6,0.298575,0.00898711,1.00144
7,0.252917,0.0134749,1.00243
8,0.225674,0.0164228,1.00311
9,0.208961,0.0185763,1.00335
10,0.200036,0.0198924,1.00348
11,0.182253,0.0226718,1.0038
12,0.175592,0.0237891,1.00393
13,0.160764,0.0263517,1.00423
14,0.155477,0.027318,1.00435
15,0.142896,0.0296528,1.00464
16,0.138452,0.030522,1.00474
17,0.127493,0.0327166,1.00503
18,0.123803,0.0334956,1.00514
19,0.114284,0.0355696,1.00546
20,0.111264,0.036268,1.00558
21,0.102936,0.0382828,1.00597
22,0.100501,0.038918,1.00609
23,0.0932637,0.040908,1.00649
24,0.0913152,0.0414879,1.0066
25,0.0850777,0.0434705,1.00699
26,0.0835623,0.043995,1.00708
27,0.0786926,0.0458078,1.00737
28,0.0774265,0.0463206,1.00743
29,0.0734521,0.0479912,1.00766
30,0.0722527,0.0485122,1.00774
31,0.0685627,0.0500872,1.0081
32,0.0673733,0.0506116,1.00822
33,0.0637025,0.0522797,1.0087
34,0.0615796,0.0538353,1.00926
35,0.057515,0.0553538,1.00965
36,0.0574253,0.0554083,1.00967
37,0.0552894,0.0567478,1.01014
38,0.0551838,0.0568173,1.01015
39,0.0532127,0.0581645,1.01046
40,0.0530797,0.0582592,1.01048
41,0.0512193,0.0596333,1.01078
42,0.0510466,0.0597658,1.0108
43,0.0492482,0.0611938,1.0111
44,0.0490208,0.0613809,1.01113
45,0.0472263,0.0629104,1.01144
46,0.046931,0.0631713,1.01149
47,0.045094,0.0648521,1.01182
48,0.0447297,0.0651973,1.01189
49,0.0428099,0.0670808,1.01226
50,0.0423924,0.0675027,1.01234
51,0.0404006,0.0696056,1.01275
52,0.0399699,0.0700771,1.01285
53,0.0379287,0.0723945,1.01332
54,0.0375076,0.0728898,1.01342
55,0.0354386,0.0754091,1.01393
56,0.0350573,0.0758891,1.01403
57,0.0330261,0.0785451,1.01459
58,0.0327021,0.078981,1.01468
59,0.030841,0.0815923,1.01522
60,0.0305696,0.0819833,1.01529
61,0.0288627,0.0845496,1.01582
