Tolerance,Required Steps
0.9,1
0.9,2
0.855,3
0.81225,5
0.771637,8
0.733056,13
0.835727,21
0.898307,30
0.928815,51
0.958126,34
0.91022,85
0.964088,42
0.915884,108
0.967288,47
0.918924,122
0.968766,52
0.920327,144
0.971229,58
0.922668,168
0.973302,65
0.924637,205
0.976104,74
0.927299,256
0.978985,88
0.930036,344
0.982102,110
0.932997,454
0.983766,155
0.934578,609
0.983349,225
0.934182,834
0.982243,317
0.933131,1151
0.981583,28
0.932504,1179
0.998397,47
0.948477,1226
0.998025,64
0.948124,1290
0.997426,92
0.947555,1382
0.996509,136
0.946683,1518
0.995223,204
0.945462,1722
0.993539,302
0.943862,2024
0.991624,429
0.942043,2453
0.989864,561
0.940371,3014
0.988901,714
0.939456,3728
0.988404,844
0.938984,4572
0.988736,922
0.9393,5440
0.989712,941
0.940227,6083
