Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571772,0,1
1,0.456494,0.0497206,0.980524
2,0.37035,0.146969,0.960319
3,0.32375,0.195357,0.966338
4,0.274831,0.258365,0.984284
5,0.219545,0.342026,1.01826
6,0.173759,0.425438,1.05938
7,0.136959,0.503912,1.10229
8,0.113444,0.564525,1.1372
9,0.0980143,0.609587,1.16356
10,0.0848833,0.650896,1.18797
11,0.0747735,0.684005,1.20759
12,0.0630952,0.724693,1.23121
13,0.0561101,0.749524,1.24544
14,0.0477935,0.779792,1.26279
15,0.0430668,0.797394,1.27275
16,0.0371502,0.821212,1.28593
17,0.0344952,0.831699,1.29159
18,0.0307499,0.847982,1.30026
19,0.0289629,0.855782,1.30445
20,0.0260967,0.869554,1.31178
21,0.0248862,0.875177,1.31482
22,0.0227712,0.886342,1.32053
23,0.0218948,0.890877,1.32293
24,0.0201756,0.901061,1.32813
25,0.019583,0.904336,1.32984
26,0.018215,0.913284,1.33446
27,0.0178596,0.915255,1.33563
28,0.0167901,0.922421,1.33973
29,0.0165505,0.923721,1.34061
30,0.0156459,0.929581,1.34441
31,0.0154753,0.93045,1.3451
32,0.0147163,0.935465,1.34869
33,0.0146144,0.935966,1.34915
34,0.0139393,0.940522,1.35266
35,0.0138593,0.940914,1.35305
36,0.0132551,0.945003,1.35636
37,0.0131894,0.945305,1.3567
38,0.0126539,0.948956,1.35992
39,0.0126028,0.949178,1.36018
40,0.0121462,0.952398,1.36312
41,0.0117382,0.955316,1.36586
42,0.011057,0.960922,1.37094
43,0.0106102,0.964523,1.37463
44,0.0101201,0.969069,1.37917
45,0.0100223,0.969584,1.38004
46,0.010002,0.969711,1.38023
47,0.00999211,0.969758,1.38028
