Tolerance,Required Steps
0.9,1
0.9,1
0.855,2
0.81225,3
0.771637,5
0.733056,8
0.696403,13
0.813171,16
0.848201,16
0.848201,18
0.865068,17
0.821815,24
0.873785,18
0.830096,27
0.886731,16
0.842394,31
0.918655,15
0.872722,28
0.931816,16
0.885225,35
0.947531,17
0.900155,38
0.955332,19
0.907566,51
0.965564,19
0.917286,68
0.976889,19
0.928044,82
0.983327,20
0.934161,101
0.986963,15
0.937614,116
0.991933,15
0.942336,131
0.993397,15
0.943727,146
0.994219,13
0.944508,159
0.995463,4
0.94569,163
0.898405,167
0.900839,330
0.949818,277
0.942485,390
0.98813,77
0.997772,2
0.999,3
